numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07454;20160105080000;1535.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20160105080000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.170000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20160105070500;1270.000000;0;0.000000;270.950000;269.830000;92;0;7;0;5;5;2250;0;3;0;3.100000;mq;270.350000;mq;275.250000;0.190000;0.040000;-99;768.000000;3104.000000;mq;271.850000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07608;20160105071500;1327.000000;0;0.000000;274.150000;274.010000;99;0;7;6;4;4;1250;0;3;0;13.200000;mq;274.150000;mq;277.150000;0.010000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07818;20160105070000;1250.000000;220;5.000000;273.150000;268.330000;70;0;6;7;7;7;800;5;/;/;1.500000;mq;273.150000;mq;284.150000;0.030000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07876;20160105060000;1270.000000;0;0.000000;272.450000;mq;mq;71;7;0;8;8;250;0;3;/;20.000000;mq;mq;mq;mq;0.550000;0.210000;-99;768.000000;3121.000000;mq;272.450000;mq;0;0;0;mq;mq;mq;mq;3;220;2.000000;mq;mq;mq;1;1;mq;mq;mq;
07917;20160105080000;1281.000000;0;0.000000;271.750000;270.470000;91;0;7;0;6;6;800;5;0;0;2.100000;mq;270.750000;mq;275.650000;0.050000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07931;20160105065000;1665.000000;40;2.000000;269.450000;266.990000;83;0;7;0;4;4;1250;5;0;0;1.000000;mq;269.450000;mq;273.350000;0.270000;0.020000;-99;768.000000;3102.000000;mq;268.450000;mq;0;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07939;20160105071100;1860.000000;90;2.000000;268.450000;262.680000;64;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.450000;mq;273.750000;0.200000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;1;mq;mq;mq;0.000000;mq;0;0;0;mq;mq;
07945;20160105063000;1270.000000;0;0.000000;272.250000;271.110000;92;0;7;6;8;7;450;2;7;/;9.500000;mq;272.250000;mq;274.450000;0.400000;0.130000;-99;768.000000;3113.000000;mq;271.850000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;20160105064500;1018.000000;0;0.000000;274.550000;273.090000;90;0;6;0;7;7;450;5;/;/;2.500000;mq;273.150000;mq;278.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07582;20160105073000;1350.000000;0;0.000000;274.750000;268.670000;64;0;6;7;7;1;150;6;7;/;4.000000;mq;274.350000;mq;275.750000;0.130000;0.040000;-99;768.000000;3104.000000;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07721;20160105074500;1747.000000;110;6.000000;270.350000;270.350000;100;73;7;4;9;9;mq;/;/;/;10.700000;mq;270.150000;mq;271.650000;0.480000;0.140000;-99;768.000000;3114.000000;mq;270.250000;mq;0;mq;7;mq;mq;mq;mq;3;220;5.000000;0.800000;0.300000;mq;1;1;mq;0;86.000000;
07729;20160105070000;636.000000;0;0.000000;277.450000;277.160000;98;60;6;0;8;8;800;5;/;/;10.200000;mq;277.450000;mq;280.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07897;20160105073000;1870.000000;180;2.000000;269.950000;mq;mq;70;7;3;7;7;250;5;2;/;mq;mq;mq;mq;mq;0.800000;0.320000;-99;768.000000;3132.000000;mq;270.150000;mq;0;0;mq;mq;mq;mq;mq;4;180;4.000000;mq;mq;mq;1;1;mq;1;100.000000;
07919;20160105074700;2130.000000;0;0.000000;267.150000;265.190000;86;0;7;4;2;2;1750;0;3;2;5.200000;mq;267.150000;mq;269.150000;0.480000;0.050000;-99;768.000000;3105.000000;mq;270.350000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;0;180.000000;
07962;20160105070000;680.000000;0;0.000000;277.450000;277.160000;98;60;6;0;8;8;150;5;/;/;6.000000;mq;277.450000;mq;281.050000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07966;20160105070500;1000.000000;0;0.000000;275.150000;274.720000;97;0;6;0;8;8;80;6;/;/;9.500000;mq;275.150000;mq;278.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07589;20160105081500;1570.000000;0;0.000000;270.650000;mq;mq;0;7;4;4;3;1250;0;3;2;2.800000;mq;270.050000;mq;273.150000;0.210000;0.040000;-99;768.000000;3104.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07881;20160105083000;2590.000000;180;4.000000;264.150000;260.030000;72;0;7;0;6;6;450;0;7;0;9.600000;mq;262.150000;mq;267.150000;0.820000;0.120000;-99;768.000000;3112.000000;mq;266.350000;mq;0;0;0;mq;mq;mq;mq;3;220;8.000000;mq;0.130000;mq;1;9;mq;1;100.000000;
07884;20160105080000;1400.000000;0;0.000000;272.150000;mq;mq;70;7;0;7;7;450;2;/;/;23.000000;mq;272.150000;mq;273.150000;0.680000;0.180000;-99;768.000000;3118.000000;mq;271.150000;mq;0;0;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;9;mq;1;130.000000;
07893;20160105075000;1780.000000;0;0.000000;269.150000;268.190000;93;86;7;4;9;9;mq;/;/;/;9.800000;mq;268.350000;mq;272.150000;0.780000;0.190000;-99;768.000000;3119.000000;mq;269.250000;mq;0;mq;mq;mq;mq;mq;mq;4;270;4.000000;mq;mq;mq;9;2;mq;0;40.000000;
07895;20160105064500;1970.000000;0;0.000000;268.650000;267.830000;94;0;7;3;7;7;450;6;/;/;10.100000;mq;268.150000;mq;270.650000;0.750000;0.160000;-99;768.000000;3116.000000;mq;270.050000;mq;0;0;1;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;9;mq;0;80.000000;
07900;20160105061000;2040.000000;180;6.000000;269.350000;267.200000;85;71;7;3;8;8;mq;0;2;/;8.000000;mq;268.350000;mq;271.150000;0.650000;0.100000;-99;768.000000;3110.000000;mq;268.650000;mq;0;mq;4;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;2;mq;0;70.000000;
07901;20160105070000;1870.000000;0;0.000000;269.350000;268.670000;95;44;7;4;7;2;150;2;7;/;12.000000;mq;269.250000;mq;270.750000;0.500000;0.160000;-99;768.000000;3116.000000;mq;270.250000;mq;0;6;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;0;75.000000;
07458;20160105073000;1152.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;10.800000;mq;mq;mq;mq;0.150000;0.100000;-99;768.000000;3110.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07875;20160105075500;1860.000000;0;0.000000;268.550000;265.950000;82;0;7;0;5;4;800;5;3;0;8.600000;mq;268.550000;mq;271.850000;0.630000;0.060000;-99;768.000000;3106.000000;mq;266.350000;mq;0;0;0;mq;mq;mq;mq;2;40;10.000000;mq;mq;mq;1;9;mq;0;100.000000;
07920;20160105082000;1720.000000;0;0.000000;270.450000;269.330000;92;0;7;0;3;3;800;0;3;0;10.200000;mq;270.050000;mq;273.150000;0.400000;0.100000;-99;768.000000;3110.000000;mq;270.550000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;0.700000;0.100000;mq;1;9;mq;0;120.000000;
07959;20160105075000;1860.000000;0;0.000000;mq;mq;mq;70;7;0;8;8;mq;6;/;/;13.000000;mq;mq;mq;mq;0.300000;0.150000;-99;768.000000;3115.000000;mq;272.750000;mq;0;mq;0;mq;mq;mq;mq;1;0;0.000000;mq;0.200000;mq;1;7;mq;0;112.000000;
07498;20160105073000;1850.000000;200;1.000000;269.050000;267.060000;86;0;7;0;6;2;800;5;7;/;9.500000;mq;269.050000;mq;272.650000;0.760000;0.210000;-99;768.000000;3121.000000;mq;269.650000;mq;0;0;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07815;20160105073000;2350.000000;0;0.000000;268.150000;265.240000;80;0;7;0;5;5;1250;0;3;0;5.200000;mq;266.150000;mq;269.150000;0.800000;0.100000;-99;768.000000;3110.000000;mq;268.150000;mq;0;0;mq;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;3;mq;1;50.000000;
07856;20160105081500;1620.000000;0;0.000000;271.450000;268.780000;82;71;7;7;8;8;150;6;/;/;10.500000;mq;270.850000;mq;272.450000;0.600000;0.200000;-99;768.000000;3120.000000;mq;270.950000;mq;0;mq;2;mq;mq;mq;mq;4;90;14.000000;0.920000;0.250000;mq;1;2;mq;0;90.000000;
07888;20160105071500;1800.000000;0;0.000000;270.750000;269.770000;93;0;7;0;8;8;450;6;/;/;3.000000;mq;270.050000;mq;272.550000;0.530000;0.040000;-99;768.000000;3104.000000;mq;mq;mq;0;0;mq;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;9;mq;1;140.000000;
07889;20160105061500;1800.000000;0;0.000000;269.650000;268.250000;90;0;7;0;7;7;250;2;/;/;6.600000;mq;268.650000;mq;273.150000;0.430000;0.110000;-99;768.000000;3111.000000;mq;270.350000;mq;0;0;mq;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07892;20160105074500;1700.000000;0;0.000000;270.150000;268.440000;88;0;7;0;7;7;1250;0;7;/;9.800000;mq;270.150000;mq;273.150000;0.690000;0.150000;-99;768.000000;3115.000000;mq;269.950000;mq;0;0;mq;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;2;mq;1;60.000000;
07894;20160105075000;1350.000000;0;0.000000;271.450000;271.040000;97;0;7;0;7;7;150;2;/;/;11.400000;mq;271.450000;mq;275.750000;0.370000;0.140000;-99;768.000000;3114.000000;mq;271.750000;mq;0;1;1;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;9;2;mq;1;80.000000;
07896;20160105072000;1416.000000;0;0.000000;271.150000;270.030000;92;0;7;0;7;7;1250;0;2;/;7.300000;mq;270.650000;mq;274.650000;0.730000;0.120000;-99;768.000000;3112.000000;mq;271.550000;mq;0;0;3;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;0;0;0;2;3.000000;
07904;20160105061000;2080.000000;0;0.000000;269.150000;264.850000;72;71;7;4;9;9;mq;/;/;/;9.300000;mq;267.850000;mq;271.350000;0.700000;0.170000;-99;768.000000;3117.000000;mq;269.650000;mq;0;mq;1;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;2;mq;0;60.000000;
